"f_nm","l_nm","hire_date","dept_no","emp_title","emp_no","dept_name"
"Heping","Nitsch","1988-05-21","d008","s0001",10052,"Research"
"Sanjiv","Zschoche","1986-02-04","d007","s0002",10053,"Sales"
"Mayumi","Schueller","1995-03-13","d003","s0001",10054,"Human Resources"
"Georgy","Dredge","1992-04-27","d001","s0001",10055,"Marketing"
"Brendon","Bernini","1990-02-01","d005","e0003",10056,"Development"
"Ebbe","Callaway","1992-01-15","d005","e0003",10057,"Development"
"Berhard","McFarlin","1987-04-13","d001","s0002",10058,"Marketing"
"Alejandro","McAlpine","1991-06-26","d002","s0002",10059,"Finance"
"Breannda","Billingsley","1987-11-02","d007","s0001",10060,"Sales"
"Breannda","Billingsley","1987-11-02","d009","s0001",10060,"Customer Service"
"Tse","Herber","1985-09-17","d007","s0002",10061,"Sales"
"Anoosh","Peyn","1991-08-30","d005","e0003",10062,"Development"
"Gino","Leonhardt","1989-04-08","d004","e0003",10063,"Production"
"Udi","Jansch","1985-11-20","d008","s0001",10064,"Research"
"Satosi","Awdeh","1988-05-18","d005","e0002",10065,"Development"
"Kwee","Schusler","1986-02-26","d005","e0003",10066,"Development"
"Claudi","Stavenow","1987-03-04","d006","e0003",10067,"Quality Management"
"Charlene","Brattka","1987-08-07","d007","s0001",10068,"Sales"
"Margareta","Bierman","1989-11-05","d004","e0004",10069,"Production"
"Reuven","Garigliano","1985-10-14","d005","e0004",10070,"Development"
"Reuven","Garigliano","1985-10-14","d008","e0004",10070,"Research"
"Hisao","Lipner","1987-10-01","d003","s0001",10071,"Human Resources"
"Hironoby","Sidou","1988-07-21","d005","e0003",10072,"Development"
"Shir","McClurg","1991-12-01","d006","e0002",10073,"Quality Management"
"Mokhtar","Bernatsky","1990-08-13","d005","e0004",10074,"Development"
"Gao","Dolinsky","1987-03-19","d005","e0003",10075,"Development"
"Erez","Ritzmann","1985-07-09","d005","e0003",10076,"Development"
"Mona","Azuma","1990-03-02","d003","s0001",10077,"Human Resources"
"Danel","Mondadori","1987-05-26","d005","e0002",10078,"Development"
"Kshitij","Gils","1986-03-27","d005","e0004",10079,"Development"
"Premal","Baek","1985-11-19","d002","s0001",10080,"Finance"
"Premal","Baek","1985-11-19","d003","s0001",10080,"Human Resources"
"Zhongwei","Rosen","1986-10-30","d004","e0003",10081,"Production"
"Parviz","Lortz","1990-01-03","d008","s0001",10082,"Research"
"Vishv","Zockler","1987-03-31","d004","e0003",10083,"Production"
"Tuval","Kalloufi","1995-12-15","d004","e0003",10084,"Production"
"Kenroku","Malabarba","1994-04-09","d004","e0003",10085,"Production"
"Somnath","Foote","1990-02-16","d003","s0001",10086,"Human Resources"
"Xinglin","Eugenio","1986-09-08","d007","s0001",10087,"Sales"
"Jungsoon","Syrzycki","1988-09-02","d007","s0001",10088,"Sales"
"Jungsoon","Syrzycki","1988-09-02","d009","s0001",10088,"Customer Service"
"Sudharsan","Flasterstein","1986-08-12","d007","s0001",10089,"Sales"
"Kendra","Hofting","1986-03-14","d005","e0003",10090,"Development"
"Amabile","Gomatam","1992-11-18","d005","e0003",10091,"Development"
